proteinName,affinity,ligandName
3zzf,0.4,(NLG)
3gww,0.45,(SFX)
1w8l,0.49,(1P3)
3fqa,0.49,(GAB&PMP)
1zsb,0.6,(AZM)
4obv,0.75,(2SU)
1wkm,0.82,(MET)
3k41,0.82,(M6D)
4eu3,0.82,(CIT)
2w97,0.96,(GOL)
1p0y,1,(MLZ)
2b1r,1,(CBI)
2d2v,1,(MAL)
1aw1,1.05,(PGA)
1maw,1.1,(ATP)
3fl9,1.11,(TOP)
5eb2,1.11,(TRP)
4lh2,1.24,(SIN)
4to8,1.24,(FLC)
4fci,1.26,(GPA)
4fck,1.26,(GPA)
4clp,1.27,(CMP)
1f9g,1.28,(ASC)
1a0t,1.3,(SUC)
1b74,1.3,(DGN)
2fah,1.3,(MLA)
5oxm,1.3,(2-mer)
2igw,1.31,(2-mer)
5mnc,1.31,(ANL)
5mny,1.31,(WOT)
5moo,1.31,(WOT)
2vl1,1.35,(2-mer)
3nm6,1.35,(TRS)
1qpb,1.36,(PYM)
1hty,1.4,(TRS)
1o4l,1.4,(CIT)
1o4m,1.4,(MLA)
1o4n,1.4,(OXD)
2hdq,1.4,(C21)
3eor,1.4,(CFV)
3e81,1.43,(SLB)
1ozv,1.44,(LYS)
1utp,1.44,(PBN)
5eb3,1.45,(UEG)
1tnk,1.49,(PRA)
4bh4,1.49,(3-mer)
5vqe,1.49,(G2F)
4lh3,1.52,(GUA)
5ct1,1.52,(NHE)
5ele,1.52,(5-mer)
3mwe,1.54,(TLA)
4amw,1.55,(5DI)
1iig,1.57,(3PP)
3rup,1.57,(ADP)
5cs5,1.58,(PIN)
5ofv,1.58,(9TZ)
2b1q,1.59,(TRE)
1w8m,1.6,(E1P)
3itc,1.6,(CIT)
2it4,1.62,(PPF)
1a7t,1.64,(MES)
4d63,1.64,(SIA)
1hgj,1.66,(AMN)
1rdj,1.66,(MFB)
2o9r,1.68,(TCB)
4qsw,1.68,(38T)
1d2v,1.7,(BR)
1jou,1.7,(Na+)
2sfp,1.7,(PPI)
3gf2,1.7,(SAL)
3oay,1.7,(BDF)
4tyb,1.7,(3B1)
6cex,1.7,(NHE)
6cf5,1.7,(NHE)
3g6m,1.71,(CFF)
2hdr,1.72,(4A3)
3ern,1.72,(CAR)
3vzg,1.72,(2-mer)
3zst,1.72,(ACX)
5y61,1.72,(5GP)
1u2y,1.74,(GOX)
4qsx,1.74,(38S)
5y62,1.74,(5GP)
5ggj,1.75,(PNA)
1s8j,1.77,(NO3)
4bgx,1.77,(SIA-GAL)
3f39,1.78,(IPH)
5ggl,1.78,(6ZC)
2zgm,1.79,(LAT)
1ga8,1.8,(DEL)
3rxh,1.8,(HSM)
1af6,1.82,(GLC-FRU)
1bra,1.82,(BEN)
1d5r,1.82,(TLA)
1y1m,1.82,(AC5)
3eqb,1.82,(LUG)
4ahv,1.82,(Z5P)
1rdn,1.84,(MAG)
1fd7,1.85,(AI1)
3khv,1.85,(4AL)
1mwt,1.88,(PNM)
1tnl,1.88,(TPA)
2ay2,1.88,(CXP)
4x8s,1.89,(3Z7)
1f2p,1.9,(PHE)
4mrh,1.9,(2CQ)
1f2o,1.91,(LEU)
1efi,1.92,(GAT)
3ehn,1.92,(NLC)
4bh3,1.92,(3-mer)
2rjr,1.94,(295)
5nn4,1.94,(SC2)
4mrf,1.95,(2CK)
1tnj,1.96,(PEA)
2gga,1.96,(GPJ)
5oxn,1.96,(2-mer)
1wdq,1.98,(MAL)
3i3d,1.99,(IPT)
1gbt,2,(GBS)
1ing,2,(ST5)
2bmv,2,(BEN)
2hds,2,(4MB)
2r58,2,(MLY)
3c2f,2,(PRP)
3g2y,2,(GF4)
3pce,2,(3HP)
3rv3,2,(ADP)
4awj,2,(V6F)
4ctk,2,(SVN)
4kz5,2,(1U3)
4qsu,2,(TDR)
4qsv,2,(THM)
4u58,2,(3C6)
4y4g,2,(GGB)
6evq,2,(C05)
4ty8,2.03,(3AV)
5ekx,2.03,(2CQ)
5nzq,2.03,(5AO)
2ks9,2.04,(11-mer)
1jfh,2.05,(MA2-MA3)
4e4a,2.05,(JKE)
4ty9,2.05,(3B0)
4x8t,2.05,(3Z8)
5eiw,2.05,(X0V)
1qq9,2.06,(MET)
1rdi,2.06,(MFU)
2zg3,2.06,(SIA)
4u54,2.06,(3C5)
3ao4,2.07,(833)
4b0c,2.07,(C9H)
3rxp,2.08,(SW3)
5tyh,2.08,(7O4)
1njj,2.1,(GET)
2zg1,2.1,(SIA)
4aml,2.1,(GYU)
4cs9,2.1,(AMP)
3uf9,2.11,(FST)
1qx1,2.12,(FMF)
2w8w,2.12,(PLS)
3gv9,2.12,(GV9)
1p2g,2.13,(8-mer)
1uxb,2.15,(SIA-GAL)
3rxg,2.15,(SZ3)
4b0j,2.15,(3MQ)
4q90,2.15,(4H2)
5cs3,2.15,(EP1)
6fap,2.15,(D3H)
6fi1,2.15,(D3H)
2ay9,2.16,(5PV)
4tim,2.16,(2PG)
5fe6,2.16,(5WZ)
6ghj,2.16,(3-mer)
3gqz,2.17,(GF7)
4y3j,2.17,(HIC)
5oxk,2.17,(2-mer)
5z5f,2.17,(FUB)
6gmx,2.17,(F7B)
3l7d,2.18,(DK5)
6g47,2.18,(SIA)
4ahr,2.19,(I2E)
4ahs,2.19,(AKH)
4amx,2.19,(5GF)
4jdf,2.19,(SPD)
4mre,2.19,(2C9)
5nzp,2.19,(9EW)
1w1v,2.2,(ALJ)
2vvo,2.2,(A6P)
4eh8,2.2,(0OP)
1x8d,2.21,(RNS)
4g0z,2.21,(5GP)
1icj,2.22,(PGO)
1m0n,2.22,(HCP)
2aac,2.22,(FCB)
4aci,2.22,(CIT)
4uru,2.22,(6W2)
4ury,2.22,(RV1)
4x11,2.22,(SIA)
5fsb,2.22,(6YR)
5hcl,2.22,(5Y9)
5jqb,2.22,(IBP)
1ajp,2.23,(OMD)
2igv,2.23,(2-mer)
3ao5,2.23,(BBY)
3i3b,2.23,(149)
1rdl,2.24,(MMA)
2ay8,2.24,(4TB)
2os9,2.24,(INS)
5f6v,2.24,(5VL)
5m9w,2.24,(7GR)
5nzo,2.24,(9EZ)
