,proteinName,affinity,ligandName
0,3zzf,0.4,(NLG)
1,3gww,0.45,(SFX)
2,1w8l,0.49,(1P3)
4,1zsb,0.6,(AZM)
5,4obv,0.75,(2SU)
6,1wkm,0.82,(MET)
7,3k41,0.82,(M6D)
8,4eu3,0.82,(CIT)
9,2w97,0.96,(GOL)
10,1p0y,1.0,(MLZ)
11,2b1r,1.0,(CBI)
12,2d2v,1.0,(MAL)
13,1aw1,1.05,(PGA)
14,1maw,1.1,(ATP)
15,3fl9,1.11,(TOP)
16,5eb2,1.11,(TRP)
17,4lh2,1.24,(SIN)
18,4to8,1.24,(FLC)
19,4fci,1.26,(GPA)
20,4fck,1.26,(GPA)
21,4clp,1.27,(CMP)
22,1f9g,1.28,(ASC)
23,1a0t,1.3,(SUC)
24,1b74,1.3,(DGN)
25,2fah,1.3,(MLA)
28,5mnc,1.31,(ANL)
29,5mny,1.31,(WOT)
30,5moo,1.31,(WOT)
32,3nm6,1.35,(TRS)
33,1qpb,1.36,(PYM)
34,1hty,1.4,(TRS)
35,1o4l,1.4,(CIT)
36,1o4m,1.4,(MLA)
37,1o4n,1.4,(OXD)
38,2hdq,1.4,(C21)
39,3eor,1.4,(CFV)
40,3e81,1.43,(SLB)
41,1ozv,1.44,(LYS)
42,1utp,1.44,(PBN)
43,5eb3,1.45,(UEG)
44,1tnk,1.49,(PRA)
46,5vqe,1.49,(G2F)
47,4lh3,1.52,(GUA)
48,5ct1,1.52,(NHE)
50,3mwe,1.54,(TLA)
51,4amw,1.55,(5DI)
52,1iig,1.57,(3PP)
53,3rup,1.57,(ADP)
54,5cs5,1.58,(PIN)
55,5ofv,1.58,(9TZ)
56,2b1q,1.59,(TRE)
57,1w8m,1.6,(E1P)
58,3itc,1.6,(CIT)
59,2it4,1.62,(PPF)
60,1a7t,1.64,(MES)
61,4d63,1.64,(SIA)
62,1hgj,1.66,(AMN)
63,1rdj,1.66,(MFB)
64,2o9r,1.68,(TCB)
65,4qsw,1.68,(38T)
66,1d2v,1.7,(BR)
68,2sfp,1.7,(PPI)
69,3gf2,1.7,(SAL)
70,3oay,1.7,(BDF)
71,4tyb,1.7,(3B1)
72,6cex,1.7,(NHE)
73,6cf5,1.7,(NHE)
74,3g6m,1.71,(CFF)
75,2hdr,1.72,(4A3)
76,3ern,1.72,(CAR)
78,3zst,1.72,(ACX)
79,5y61,1.72,(5GP)
80,1u2y,1.74,(GOX)
81,4qsx,1.74,(38S)
82,5y62,1.74,(5GP)
83,5ggj,1.75,(PNA)
84,1s8j,1.77,(NO3)
86,3f39,1.78,(IPH)
87,5ggl,1.78,(6ZC)
88,2zgm,1.79,(LAT)
89,1ga8,1.8,(DEL)
90,3rxh,1.8,(HSM)
92,1bra,1.82,(BEN)
93,1d5r,1.82,(TLA)
94,1y1m,1.82,(AC5)
95,3eqb,1.82,(LUG)
96,4ahv,1.82,(Z5P)
97,1rdn,1.84,(MAG)
98,1fd7,1.85,(AI1)
99,3khv,1.85,(4AL)
100,1mwt,1.88,(PNM)
101,1tnl,1.88,(TPA)
102,2ay2,1.88,(CXP)
103,4x8s,1.89,(3Z7)
104,1f2p,1.9,(PHE)
105,4mrh,1.9,(2CQ)
106,1f2o,1.91,(LEU)
107,1efi,1.92,(GAT)
108,3ehn,1.92,(NLC)
110,2rjr,1.94,(295)
111,5nn4,1.94,(SC2)
112,4mrf,1.95,(2CK)
113,1tnj,1.96,(PEA)
114,2gga,1.96,(GPJ)
116,1wdq,1.98,(MAL)
117,3i3d,1.99,(IPT)
118,1gbt,2.0,(GBS)
119,1ing,2.0,(ST5)
120,2bmv,2.0,(BEN)
121,2hds,2.0,(4MB)
122,2r58,2.0,(MLY)
123,3c2f,2.0,(PRP)
124,3g2y,2.0,(GF4)
125,3pce,2.0,(3HP)
126,3rv3,2.0,(ADP)
127,4awj,2.0,(V6F)
128,4ctk,2.0,(SVN)
129,4kz5,2.0,(1U3)
130,4qsu,2.0,(TDR)
131,4qsv,2.0,(THM)
132,4u58,2.0,(3C6)
133,4y4g,2.0,(GGB)
134,6evq,2.0,(C05)
135,4ty8,2.03,(3AV)
136,5ekx,2.03,(2CQ)
137,5nzq,2.03,(5AO)
140,4e4a,2.05,(JKE)
141,4ty9,2.05,(3B0)
142,4x8t,2.05,(3Z8)
143,5eiw,2.05,(X0V)
144,1qq9,2.06,(MET)
145,1rdi,2.06,(MFU)
146,2zg3,2.06,(SIA)
147,4u54,2.06,(3C5)
148,3ao4,2.07,(833)
149,4b0c,2.07,(C9H)
150,3rxp,2.08,(SW3)
151,5tyh,2.08,(7O4)
152,1njj,2.1,(GET)
153,2zg1,2.1,(SIA)
154,4aml,2.1,(GYU)
155,4cs9,2.1,(AMP)
156,3uf9,2.11,(FST)
157,1qx1,2.12,(FMF)
158,2w8w,2.12,(PLS)
159,3gv9,2.12,(GV9)
162,3rxg,2.15,(SZ3)
163,4b0j,2.15,(3MQ)
164,4q90,2.15,(4H2)
165,5cs3,2.15,(EP1)
166,6fap,2.15,(D3H)
167,6fi1,2.15,(D3H)
168,2ay9,2.16,(5PV)
169,4tim,2.16,(2PG)
170,5fe6,2.16,(5WZ)
172,3gqz,2.17,(GF7)
173,4y3j,2.17,(HIC)
175,5z5f,2.17,(FUB)
176,6gmx,2.17,(F7B)
177,3l7d,2.18,(DK5)
178,6g47,2.18,(SIA)
179,4ahr,2.19,(I2E)
180,4ahs,2.19,(AKH)
181,4amx,2.19,(5GF)
182,4jdf,2.19,(SPD)
183,4mre,2.19,(2C9)
184,5nzp,2.19,(9EW)
185,1w1v,2.2,(ALJ)
186,2vvo,2.2,(A6P)
187,4eh8,2.2,(0OP)
188,1x8d,2.21,(RNS)
189,4g0z,2.21,(5GP)
190,1icj,2.22,(PGO)
191,1m0n,2.22,(HCP)
192,2aac,2.22,(FCB)
193,4aci,2.22,(CIT)
194,4uru,2.22,(6W2)
195,4ury,2.22,(RV1)
196,4x11,2.22,(SIA)
197,5fsb,2.22,(6YR)
198,5hcl,2.22,(5Y9)
199,5jqb,2.22,(IBP)
200,1ajp,2.23,(OMD)
202,3ao5,2.23,(BBY)
203,3i3b,2.23,(149)
204,1rdl,2.24,(MMA)
205,2ay8,2.24,(4TB)
206,2os9,2.24,(INS)
207,5f6v,2.24,(5VL)
208,5m9w,2.24,(7GR)
209,5nzo,2.24,(9EZ)
211,1ew8,2.26,(PAE)
212,3ao1,2.26,(BZX)
213,4eh9,2.26,(0OQ)
214,4np2,2.26,(2L1)
215,5v6u,2.26,(8YM)
216,1hge,2.27,(MNA)
217,1uto,2.27,(PEA)
218,4ahu,2.27,(ICO)
219,4mfe,2.27,(3PY)
220,1ps3,2.28,(KIF)
221,2rjs,2.28,(296)
222,3fu0,2.28,(22F)
223,3ip8,2.28,(B85)
224,2ay1,2.29,(AHC)
225,4ddk,2.29,(0HN)
226,4ehv,2.29,(0SJ)
227,5fnj,2.29,(YI6)
228,1hyv,2.3,(TTA)
229,1inh,2.3,(ST6)
230,1jdj,2.3,(CFP)
231,1n1g,2.3,(BCP)
232,1o4g,2.3,(I59)
234,1w1p,2.3,(GIO)
235,2ay7,2.3,(CLT)
236,2hdu,2.3,(F12)
237,2xix,2.3,(XIX)
238,2xlc,2.3,(DEP)
239,3dyo,2.3,(IPT)
240,3kgq,2.3,(CIT)
241,3mhw,2.3,(ABV)
242,3pcg,2.3,(4HP)
243,3rv4,2.3,(ADP)
244,4b6e,2.3,(10L)
245,4e3d,2.3,(GTQ)
246,4g0y,2.3,(AMP)
247,4jsz,2.3,(FB2)
248,4led,2.3,(XXR)
249,4wh7,2.3,(8H8)
250,5enc,2.3,(5QD)
251,5eni,2.3,(5QA)
252,5enj,2.3,(5Q9)
253,5g42,2.3,(4TU)
254,6gmq,2.3,(F4K)
255,1m0o,2.31,(MPM)
256,4y0a,2.31,(SKM)
257,5mz8,2.31,(SIN)
258,2qve,2.32,(247)
259,5aol,2.32,(UFV)
260,1z6d,2.34,(IMP)
261,4iie,2.34,(CGB)
263,1qi0,2.35,(CBI)
264,3gtc,2.35,(GTC)
265,4k3k,2.35,(SFK)
266,4y3y,2.35,(DCL)
267,1o4j,2.36,(IS2)
268,3g2z,2.36,(GZ2)
269,5fsc,2.36,(G8Z)
270,3t0d,2.37,(149)
271,4jck,2.37,(1LL)
272,6rnt,2.37,(2AM)
273,3f6e,2.38,(8PA)
274,4aj2,2.38,(52C)
275,1f73,2.39,(HMN)
276,1nwl,2.39,(964)
277,4nyt,2.39,(PC)
278,4tya,2.39,(3AE)
279,1cam,2.4,(BCT)
280,2wi1,2.4,(ZZ2)
281,3dxg,2.4,(U5P)
282,3l7b,2.4,(DKZ)
283,3pcb,2.4,(3HB)
284,3t2t,2.4,(MQT)
285,4u5l,2.4,(3D6)
286,4y38,2.4,(0A9)
287,4zsm,2.4,(4RW)
288,1o4r,2.41,(787)
289,2wsx,2.41,(NM2)
290,4u5s,2.41,(3D0)
291,4u5o,2.42,(3D5)
292,5os3,2.43,(A7N)
293,1o4h,2.44,(772)
294,1oba,2.44,(CHT)
295,1t4s,2.44,(VAL)
296,2i2b,2.44,(CC5)
297,2xiy,2.44,(XIY)
298,3ked,2.44,(DAB)
299,3l7c,2.44,(DK4)
300,3mjl,2.44,(2AI)
301,4d62,2.44,(SIA)
303,1o4o,2.46,(HPS)
304,2aez,2.46,(DQR)
305,3l79,2.46,(DKX)
306,4ah9,2.46,(0MB)
307,4ddm,2.46,(0HO)
308,4eh6,2.46,(0ON)
309,4x8u,2.46,(3ZB)
310,5aqh,2.46,(ZVO)
311,1tok,2.47,(MAE)
312,1utl,2.47,(PRA)
313,3rik,2.47,(3RI)
315,4y4j,2.47,(LNR)
316,5dv4,2.47,(NMY)
317,5jal,2.47,(6HO)
318,6fhq,2.47,(DE5)
319,1gyx,2.48,(BEZ)
320,4u5n,2.48,(3D4)
321,4ze6,2.48,(011)
322,5mn1,2.48,(2AP)
323,5mnb,2.48,(2AP)
324,5mnx,2.48,(2AP)
325,5mon,2.48,(2AP)
326,1o4q,2.49,(256)
327,4efk,2.49,(0OC)
328,4ej2,2.49,(D1F)
329,4kz7,2.49,(1U5)
330,1ai4,2.5,(DHY)
331,3g30,2.51,(G30)
332,4ctj,2.51,(3A9)
333,1rq2,2.52,(CIT)
334,1wdr,2.52,(MAL)
335,3ad7,2.52,(MTG)
336,3bf1,2.52,(ADP)
337,3fq7,2.52,(PXG)
338,3gr2,2.52,(GF4)
339,3mfv,2.52,(Z70)
340,3vdb,2.52,(149)
341,4e3f,2.52,(GRE)
342,4g0q,2.52,(C5P)
343,4urz,2.52,(VJP)
344,5f6d,2.52,(5VJ)
345,5f6u,2.52,(5VK)
346,4hj2,2.53,(LZ6)
347,1iup,2.54,(ALQ)
348,1il3,2.55,(7DG)
349,1kf0,2.55,(ACP)
350,3b3s,2.55,(LEU)
351,3ovn,2.55,(MPV)
352,5eif,2.55,(4M0)
353,5n53,2.55,(8NB)
354,5os0,2.55,(A6Z)
355,1gwv,2.57,(LAT)
356,2ria,2.57,(289)
357,2wq4,2.57,(SFU)
358,3kgp,2.57,(4AZ)
359,5v4q,2.57,(8WY)
360,2ay5,2.59,(IOP)
361,2jst,2.59,(HLT)
362,3gvb,2.59,(3GV)
363,4o3a,2.59,(ASP)
364,4o3c,2.59,(ASP)
365,4wef,2.59,(DF4)
367,1o4p,2.6,(791)
368,2c4v,2.6,(CIT)
369,2r5a,2.6,(MLZ)
370,3gwv,2.6,(RFX)
371,3rxf,2.6,(4AP)
372,4up5,2.6,(94W)
373,5g46,2.6,(6VD)
374,1cze,2.62,(SIN)
375,1w1y,2.62,(TYP)
377,3f37,2.62,(2MY)
378,3f38,2.62,(2MY)
379,3fk1,2.62,(GPF)
380,3rxl,2.62,(SZ9)
381,4lnf,2.62,(GLN)
382,4lno,2.62,(GLN)
383,5foo,2.62,(JAZ)
384,5lvd,2.62,(79F)
385,1ajn,2.63,(AAN)
386,1g5f,2.64,(DCE)
387,1o4i,2.64,(219)
388,3p1d,2.64,(MB3)
389,4i8x,2.64,(6P3)
390,4q7w,2.64,(6MH)
391,4q8y,2.64,(HQT)
392,4ufl,2.64,(DZX)
394,5ey0,2.65,(GTP)
395,1il5,2.66,(DDP)
396,3a1e,2.66,(ACP)
397,3rxb,2.66,(ALG)
398,4y2p,2.66,(3C5)
400,3lvw,2.67,(GSH)
401,1hgi,2.68,(ANA)
402,1o8b,2.68,(ABF)
403,2q72,2.68,(IXX)
404,3rxk,2.68,(SZ8)
405,4b3c,2.68,(5H1)
406,4b3d,2.68,(5MI)
407,5aqj,2.68,(Q88)
408,5aqp,2.68,(1LQ)
409,3elc,2.69,(F01)
410,4usw,2.69,(ATP)
411,5k5s,2.69,(TRP)
412,1br5,2.7,(NEO)
413,1gym,2.7,(MYG)
414,1lt5,2.7,(TDG)
415,1tc1,2.7,(FMB)
416,1ylv,2.7,(SHF)
417,2fzc,2.7,(EOP)
418,2ha4,2.7,(ACH)
420,2ohk,2.7,(1SQ)
421,2ow6,2.7,(NK1)
422,2uyn,2.7,(2KT)
423,3bra,2.7,(AEF)
424,3ftz,2.7,(848)
425,3fud,2.7,(692)
426,3fuf,2.7,(14O)
427,3fuh,2.7,(5H1)
428,3gk2,2.7,(27A)
429,3gsg,2.7,(GF1)
430,3hvg,2.7,(EV0)
431,3rqw,2.7,(ACH)
432,3sl0,2.7,(FB5)
433,3zsw,2.7,(ZSW)
434,3zsz,2.7,(OM2)
435,3zt1,2.7,(OM1)
436,4h4b,2.7,(11H)
437,4okp,2.7,(2V0)
438,4old,2.7,(2UZ)
439,4wks,2.7,(3QD)
440,4ypf,2.7,(4FS)
441,4yrc,2.7,(0P6)
442,4yrg,2.7,(4HU)
443,4yrr,2.7,(691)
444,5aok,2.7,(GOH)
445,6fty,2.7,(E7H)
446,4kpz,2.71,(1SF)
447,1pfu,2.72,(MPJ)
448,2rkd,2.72,(3PP)
449,3p4r,2.72,(GUA)
450,5fsx,2.72,(ADP)
451,1dg9,2.74,(EPE)
452,2qwb,2.74,(SIA)
453,2vyt,2.74,(MLZ)
454,4m6u,2.74,(TTN)
455,4ndu,2.74,(AMG)
456,5os2,2.74,(A7K)
457,1rql,2.75,(VSO)
460,4bt5,2.76,(23B)
461,5er4,2.76,(5RL)
462,2bet,2.77,(DEZ)
463,2p3o,2.77,(GTA)
464,3fcq,2.77,(M3S)
465,3l0n,2.77,(S5P)
466,4a4h,2.77,(DA2)
467,4g5y,2.77,(0OC)
468,4kz3,2.77,(1U1)
469,4urv,2.77,(UMK)
470,4ykk,2.77,(DSN)
471,5aqn,2.77,(JG8)
472,5oug,2.77,(9Z0)
474,2yiv,2.78,(NBN)
475,3ftw,2.78,(11X)
476,4yrt,2.78,(781)
477,5os4,2.78,(A8H)
478,2bge,2.8,(T2D)
479,2bza,2.8,(ABN)
480,3zt4,2.8,(ZT2)
481,4kz8,2.8,(1U6)
482,4urw,2.8,(DXO)
484,5fbi,2.8,(5WD)
486,5hki,2.8,(6ZJ)
487,5ofw,2.8,(9TW)
488,3djx,2.81,(C5P)
489,4eh4,2.81,(0OL)
490,4oyt,2.81,(FON)
491,4rrg,2.81,(A3T)
492,1czc,2.82,(GUA)
493,1p17,2.82,(IMP)
494,2a3a,2.82,(TEP)
495,2rib,2.82,(GMH)
496,2w6z,2.82,(L21)
497,2xj0,2.82,(XJ0)
498,2yc0,2.82,(2HG)
499,3fue,2.82,(11S)
500,3lka,2.82,(M4S)
501,3ppr,2.82,(4CS)
502,4dsu,2.82,(BZI)
503,4k7i,2.82,(CAQ)
504,4pb1,2.82,(RBV)
506,5aip,2.82,(4HP)
507,6cw4,2.82,(FGV)
509,6mj7,2.82,(ARG)
510,4yz5,2.83,(SLT)
511,3fu3,2.84,(92G)
512,3moh,2.84,(PGA)
513,3zt2,2.84,(ZT2)
514,4cgj,2.84,(NZL)
515,1il4,2.85,(9DG)
516,2a29,2.85,(ANP)
517,2ork,2.85,(IPD)
518,3atk,2.85,(SZ1)
519,3k3g,2.85,(MMU)
520,3rxa,2.85,(SZ1)
521,3udh,2.85,(091)
522,4luv,2.85,(1XS)
523,4mlt,2.85,(TM4)
524,4x47,2.85,(DAN)
526,5aqo,2.85,(CWS)
527,5th4,2.85,(BEW)
528,3qx8,2.86,(GTG)
529,3zt3,2.86,(ZT4)
530,4ouj,2.86,(LBT)
531,4pd5,2.86,(GEO)
532,5z1c,2.86,(ZXI)
533,4fgz,2.87,(CQA)
534,5thj,2.87,(0TR)
535,1e34,2.88,(TPX)
536,2woq,2.88,(AYC)
537,4a4f,2.88,(2MR)
538,4ucv,2.88,(I6G)
539,1cet,2.89,(CLQ)
540,1iih,2.89,(3PG)
541,1ugp,2.89,(BUA)
543,2wpb,2.89,(ZZI)
544,2wtx,2.89,(VDO)
545,3f36,2.89,(IP0)
546,3g31,2.89,(GF1)
547,4b35,2.89,(4ME)
549,4gqq,2.89,(0XR)
550,4kzb,2.89,(NZ2)
551,4llx,2.89,(5ZE)
552,4u5u,2.89,(3D2)
553,4urx,2.89,(HXY)
554,5aes,2.89,(5B0)
555,5flt,2.89,(VJJ)
556,5ngz,2.89,(2BG)
557,5orv,2.89,(A65)
558,6b7b,2.89,(CWJ)
559,6f6s,2.89,(CXQ)
560,6mvu,2.89,(K4V)
561,3c2u,2.9,(B3P)
562,5aom,2.9,(FY8)
563,5dv2,2.9,(C5P)
564,1ms0,2.91,(DAN)
565,2ay4,2.91,(PPT)
566,2pri,2.91,(D6G)
567,4kc1,2.91,(WS1)
569,1h2k,2.92,(OGA)
570,1o4k,2.92,(PSN)
571,1p6e,2.92,(PC5)
572,1zp5,2.92,(2NI)
573,2aa9,2.92,(SKM)
574,2aay,2.92,(SKM)
575,2fkf,2.92,(G16)
576,2fw6,2.92,(CIT)
577,2fwp,2.92,(CIT)
579,3alt,2.92,(MLB)
580,3iaf,2.92,(TPP)
581,3k8c,2.92,(RES)
582,4ai5,2.92,(ADK)
583,4ef6,2.92,(I2E)
584,4lm3,2.92,(9ZE)
585,4u4s,2.92,(3C1)
587,4y2q,2.92,(49N)
588,4zki,2.92,(ADP)
589,5c0k,2.92,(4WK)
590,5ct2,2.92,(CXS)
591,5x4m,2.92,(7ZF)
592,6fv4,2.92,(16G)
593,1tng,2.93,(AMC)
594,3ftv,2.93,(11X)
595,4zv2,2.93,(GLN)
596,1p6d,2.94,(3PC)
597,2vmc,2.94,(NGA)
598,4y62,2.95,(48E)
599,1f4e,2.96,(TPR)
600,1w1t,2.96,(CHQ)
601,1ykp,2.96,(DHB)
602,2br6,2.96,(HSL)
603,2kdh,2.96,(KDH)
604,2w8j,2.96,(PLS)
605,3g34,2.96,(1CE)
606,3imc,2.96,(BZ3)
607,3img,2.96,(BZ3)
609,4dst,2.96,(9LI)
611,4mrg,2.96,(24W)
612,4owm,2.96,(3F0)
613,5fng,2.96,(YIE)
614,2hw2,2.97,(RFP)
615,4ceb,2.97,(ZSV)
616,5flq,2.97,(IO2)
618,3ckb,2.98,(MLR)
619,3djq,2.98,(UDP)
620,4ibc,2.98,(12G)
621,5aba,2.98,(UL7)
622,5aqu,2.98,(UX0)
623,3ump,2.99,(ATP)
624,4a4g,2.99,(DA2)
625,4bps,2.99,(3EB)
626,1ecq,3.0,(DXG)
627,1hqg,3.0,(ORN)
628,1mcz,3.0,(RMN)
630,1w7h,3.0,(3IP)
631,1wbg,3.0,(L03)
632,1wbo,3.0,(2CH)
633,1ws4,3.0,(GYP)
634,1yc5,3.0,(NCA)
635,1z9h,3.0,(IMN)
636,1zm7,3.0,(TTP)
637,2f1b,3.0,(GB3)
638,2h2e,3.0,(SA8)
639,2q8h,3.0,(TF4)
641,2rka,3.0,(PGA)
642,2v3u,3.0,(DSN)
643,2vin,3.0,(505)
644,2vtm,3.0,(LZM)
645,2wa3,3.0,(A29)
646,2xgm,3.0,(LXN)
647,2xgo,3.0,(ZKD)
648,2xp3,3.0,(B21)
649,2ych,3.0,(ATP)
652,3eka,3.0,(ASC)
653,3grj,3.0,(G14)
654,3ime,3.0,(BZ2)
655,3nf8,3.0,(CDQ)
656,3nk8,3.0,(JKZ)
658,4b2i,3.0,(LZ1)
659,4fe9,3.0,(MTT)
661,4k5z,3.0,(1P7)
664,4l51,3.0,(HSX)
665,4l5j,3.0,(HSX)
667,4llk,3.0,(MEW)
668,4m5r,3.0,(MSR)
669,4o7d,3.0,(ONL)
670,4oyp,3.0,(BZ2)
671,4oz2,3.0,(1Z6)
672,4r3w,3.0,(A2P)
673,4txs,3.0,(3AQ)
674,4u0w,3.0,(16G)
675,4wh9,3.0,(3M8)
676,5a5o,3.0,(J5I)
677,5aqr,3.0,(N8Y)
678,5c7b,3.0,(4YD)
679,5ehw,3.0,(5OO)
680,5fnq,3.0,(S0W)
681,5jah,3.0,(6HQ)
682,5l97,3.0,(6RW)
683,5lz2,3.0,(7BX)
686,5ye8,3.0,(8U3)
687,6fh6,3.0,(D8Q)
688,6fh7,3.0,(EN2)
689,6ftz,3.0,(E7E)
690,6gjy,3.0,(F1Z)
691,1g42,3.01,(CP2)
692,1utm,3.01,(PEA)
