proteinName,smiles,affinity,ligandName
2d3u,6.92,CC1CCCCC1S(O)(O)NC1CC(C2CCC(CN)CC2)SC1C(O)O
3cyx,8.00,CC(C)(C)NC(O)C1CC2CCCCC2C[NH+]1CC(O)C(CC1CCCCC1)NC(O)C(CC(N)O)NC(O)C1CCC2CCCCC2N1
3uo4,6.52,OC(O)C1CCC(NC2NCCC(NC3CCCCC3C3CCCCC3)N2)CC1
1p1q,4.89,CC1ONC(O)C1CC([NH3+])C(O)O
3ag9,8.05,NC(O)C(CCC[NH2+]C([NH3+])[NH3+])NC(O)C(CCC[NH2+]C([NH3+])[NH3+])NC(O)CCCCCNC(O)C(CCCC[NH3+])NC(O)CCCCCNC(O)C1OC(N2CNC3C2NCNC3N)C(O)C1O
2wtv,8.74,OC(O)C1CCC(NC2NCC3CNC(C4C(F)CCCC4F)C4CC(Cl)CCC4C3N2)CC1
3dxg,2.40,OC1C(O)C(N2CCC(O)NC2O)OC1CO[PH](O)(O)O
4tmn,10.17,CC(C)CC(N[PH](O)(O)C(CC1CCCCC1)NC(O)OCC1CCCCC1)C(O)NC(C)C([O-])O
2zcq,8.82,O[PH](O)(O)C(CCCC1CCCC(OC2CCCCC2)C1)S(O)(O)O
1q8t,4.76,CC([NH3+])C1CCC(C(O)NC2CCNCC2)CC1
4des,5.85,OC1CC(O)C2C(O)CC(C3CCCCC3)OC2C1
1n1m,5.70,CC(C)C([NH3+])C(O)N1CCCC1
1mq6,11.15,COC1CC(Cl)CC(C(O)NC2CCC(Cl)CN2)C1NC(O)C1SCC(CN(C)[CH2+]2NCCO2)C1Cl
2vl4,6.01,OCC1C[NH2+]C(O)C(O)C1O
2x97,5.66,CC(O)NC(CC([O-])O)C(O)NC(CC1CCCCC1)[PH](O)(O)CC(C)C(O)NC(C)C(N)O
3k5v,6.30,NC(O)C1CCCC(C2CC(NC3CCC(OC(F)(F)F)CC3)NCN2)C1
3jvs,6.54,CC(C)(C)C1CCC(C(O)NNC(O)NC2CCCC3CCCCC32)CC1N(O)O
3fcq,2.77,CC(O)OC1C(C)CCCC1C([O-])O
1kel,7.28,[O-]C(O)CCCC[NH+](CC1CCC(N(O)O)CC1)C[PH](O)(O)O
3kgp,2.57,[NH3+]CC1CCC(C(O)O)CC1
2xy9,9.19,[O-]C(O)C(CC1CCC(O)CC1)NC(O)C(CC1CC(C2CCCCC2)NO1)C[PH](O)(O)C(CC1CCCCC1)NC(O)OCC1CCCCC1
2x00,11.33,CC1CC(C2CCC34CCCNC3CCCC(C)C3OC(CC3C)CCC(O)C(C)CC4C2C)OC1O
2zx6,10.60,CC1[NH2+]C(CNC(O)CC2CNC3CCCCC23)C(O)C(O)C1O
3ao4,2.07,CN1NC(C2CCC3OCOC3C2)CC1N
2zxd,5.22,CC(C)C1[NH2+]CC(O)C(O)C1O
3bfu,6.27,[NH3+]C(CC1NSNC1O)C([O-])O
2g70,7.77,OCC1CC2CCC(N(O)O)CC2C[NH2+]1
2j78,6.42,OCC1N[CH2+](NO)C(O)C(O)C1O
3u9q,4.38,CCCCCCCCCC(O)O
3gbb,6.90,[NH3+]C(CC1(C([O-])O)CC2OCCCC2O1)C(O)O
4gid,10.77,CC(C)CNC(O)C([NH2+]CC(CC1CCCCC1)NC(O)C1CC(C(O)NC(C)C2CCCCC2)CC(N(C)S(C)(O)O)C1)C(C)O
3nox,8.66,CC1NC2NC(C(O)N3CCOCC3)CN2C(C2CCC(Cl)CC2Cl)C1C[NH3+]
2pcp,8.70,C1CCC(C2([NH+]3CCCCC3)CCCCC2)CC1
1w3l,6.28,OCC1OC(OC2C(O)C(O)C(OC3C(O)C[NH2+]OC3CO)OC2CO)C(O)C(O)C1O
2vvn,7.30,CCN[CH2+]1NC2C(OC(CO)C(O)C2O)S1
1qi0,2.35,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
3bpc,4.80,CCCOC1(C(O)O)CC(O)C(O)C(C(O)COC2(C([O-])O)CCCC(C(O)CO)O2)O1
2vw5,8.52,COC1CC(C)CC2CC(O)CC(C2)NC(O)C(C)CCCC(C)C(OC(N)O)C(C)CC(C)C1O
3muz,3.46,CC(C)SC1OC(CO)C(O)C(O)C1O
2xhm,6.80,CCC(C)C(NC(C)O)C(O)NC(CC1CCC(O)CC1)C(O)NC(CC1CCC(O)CC1)[PH](O)(O)O
3kwa,4.08,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]
2yge,5.06,COC1CCCC(C)C(O)NC2CC(O)C(OC)C(CC(C)CC(OC)C(O)C(C)CC(C)C1OC(N)O)C2[O-]
4de2,4.12,C[NH+](C)CC1CCCC(C(O)NC2CCCC(C3[N-]NNN3)C2)C1
2wca,5.60,CCCC(O)NC1C(O)C(O)C(CO)OC1NOC(O)NC1CCCCC1
3l7b,2.40,NC1CCN(C2OC(CO)C(O)C(F)C2O)C(O)N1
3ozt,4.13,OC(NCCCC1OC(N2CCC(O)CC2)C(O)C1O)C1CC(N(O)O)CC(O)C1O
1o5b,5.77,NC(N)C1CC2C(CCCC2I)S1
2x8z,7.96,CC(CS)C(O)N1CCCC1C([O-])O
10gs,6.40,[NH3+]C(CCC(O)NC(CSCC1CCCCC1)C(O)NC(C([O-])O)C1CCCCC1)C(O)O
3ivg,4.30,COC1CCC2C(CC(CNS(O)(O)C3CC4CCCCC4O3)N2CC(O)O)C1
3su5,5.58,CCC1CC1(NC(O)C1CC2CN1C(O)C(C(C)(C)C)NC(O)OCC(C)(C)CCCCC1CCCC3CN(CC31)C(O)O2)C(O)NS(O)(O)C1CC1
2xb8,7.59,COC1CCC(CC2C(O)C(O)C(O)CC2(O)C([O-])O)CC1
1nvq,8.25,C[NH2+]C1CC2OC(C)(C1OC)N1C3CCCCC3C3C4C(O)NC(O)C4C4C5CCCCC5N2C4C31
1oyt,7.24,[NH3+]C([NH3+])C1CCC(C2C3C(O)N(CC4CCC(F)CC4)C(O)C3C3CCC[NH+]32)CC1
1sqa,9.21,[NH3+]CC1CCC(NC(O)C2CC3CCC(C([NH3+])[NH3+])CC3C(NC3NCCCN3)C2)CC1
1hnn,6.24,NS(O)(O)C1CCC2CC[NH2+]CC2C1
2xdl,3.10,CCN(CC)C(O)C1CCC(O)C(OC)C1
3udh,2.85,OC1NC2CCCCC2C12CC[NH2+]C2
2w66,4.05,CC(O)NC1C(O)C[NH2+]C(CO)C(O)C1O
3oe5,6.88,OC(NCCCC1OC(SC2CCNCC2)C(O)C1O)C1CC(N(O)O)CC(O)C1O
2r23,3.72,CCCOC1(C([O-])O)CC(OC2(C(O)O)OC(C(O)CO)C(O)C(O)C2O)C(O)C(C(O)CO)O1
2qft,5.26,OC(O)C[NH2+]C[PH](O)(O)O
1gpk,5.37,CCC1C2CC(C)CC1([NH3+])C1CCC(O)NC1C2
2gss,4.94,CCC(C)C(O)C1CCC(OCC([O-])O)C(Cl)C1Cl
3su3,9.13,CCC1CC1(NC(O)C1CC2CN1C(O)C(C(C)(C)C)NC(O)OCC(C)(C)CCCCC1CCCC3CN(CC31)C(O)O2)C(O)NS(O)(O)C1CC1
